Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M
Superfund RED (EUR) (Superfund SFIO),"152,48",EUR,"0,16","2,55","4,78","0,55","-12,17","-14,42",2016-03-22,-
Superfund RED (Superfund SFIO),"649,41",PLN,"0,14","1,99","2,22","0,97","-9,32","-12,92",2016-03-22,-
Superfund RED (USD) (Superfund SFIO),"170,87",USD,"-0,31","3,71","5,95","3,05","-7,80","-25,86",2016-03-22,-
Superfund Trend Bis Powiązany SFIO,"88,72",PLN,"0,20","2,35","-1,19","-3,39","-10,27","16,13",2016-03-22,-
Superfund Trend Bis Powiązany SFIO (EUR),"20,83",EUR,"0,24","2,92","1,26","-3,79","-13,10","14,14",2016-03-22,-
Superfund Trend Bis Powiązany SFIO (USD),"23,34",USD,"-0,26","4,06","2,41","-1,44","-8,76","-1,14",2016-03-22,-
Superfund Trend Plus Powiązany SFIO kat. Standardowa,"85,63",PLN,"0,20","2,33","-1,13","-3,68","-11,02","15,58",2016-03-22,-
Superfund Trend Plus Powiązany SFIO kat. Standardowa (EUR),"20,11",EUR,"0,25","2,92","1,36","-4,06","-13,80","13,62",2016-03-22,-
Superfund Trend Plus Powiązany SFIO kat. Standardowa (USD),"22,53",USD,"-0,27","4,06","2,46","-1,70","-9,52","-1,57",2016-03-22,-
Superfund Trend Podstawowy SFIO,"105,67",PLN,"0,21","2,42","-0,98","-3,07","-8,60","24,70",2016-03-22,-
Superfund Trend Podstawowy SFIO (EUR),"24,81",EUR,"0,24","2,99","1,47","-3,50","-11,46","22,58",2016-03-22,-
Superfund Trend Podstawowy SFIO (USD),"27,80",USD,"-0,25","4,16","2,62","-1,10","-7,09","6,15",2016-03-22,-
Templeton Wzrostowych Akcji Polskich (FT FIO),"103,44",PLN,"-0,39","1,16","0,00","0,00","0,00","0,00",2016-03-21,-
Total FIZ,"133,61",PLN,"0,00","0,00","1,84","-3,56","0,00","0,00",2016-03-23,-
Trigon Globalni Liderzy Wzrostu FIZ,"90,32",PLN,"0,00","0,00","8,00","-9,68","0,00","0,00",2016-03-23,-
