Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M
Investor Indie i Chiny (Investor SFIO),"187,12",PLN,"0,16","1,73","3,16","-6,56","-16,57","10,30",2016-03-22,-
Investor Niemcy (Investor SFIO),"180,55",PLN,"0,41","0,48","0,00","0,00","0,00","0,00",2016-03-22,-
Investor Obligacji (Investor FIO),"311,88",PLN,"-0,06","0,07","0,33","1,45","1,15","9,99",2016-03-22,-
Investor Obligacji Korporacyjnych (Investor SFIO),"99,28",PLN,"0,10","0,11","0,66","0,18","0,00","0,00",2016-03-22,-
Investor Obligacji Rynków Wschodzących Plus (Investor SFIO),"98,41",PLN,"0,05","0,30","0,49","1,56","0,00","0,00",2016-03-22,-
Investor Property FIZ AN,"872,86",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Investor Płynna Lokata (Investor FIO),"235,82",PLN,"0,03","0,07","0,30","0,76","1,09","7,25",2016-03-22,
Investor Rosja (Investor SFIO),"112,83",PLN,"1,05","4,63","11,49","9,83","-2,56","-25,03",2016-03-22,-
Investor Sektora Infrastruktury i Informatyki (Investor SFIO),"73,60",PLN,"0,35","1,90","3,37","-0,24","-9,18","34,23",2016-03-22,-
Investor Sektora Nieruchomości i Budownictwa (Investor SFIO),"75,70",PLN,"0,03","0,34","2,56","2,01","-3,26","24,14",2016-03-22,-
Investor Top 25 Małych Spółek (Investor FIO),"220,97",PLN,"-0,41","0,28","1,57","-0,26","-10,77","20,17",2016-03-22,-
Investor Top 50 Małych i Średnich Spółek (Investor FIO),"46,26",PLN,"-0,75","1,34","4,68","3,70","-7,90","4,21",2016-03-22,
Investor Turcja (Investor SFIO),"176,01",PLN,"-1,28","2,49","7,23","9,23","-11,83","-23,72",2016-03-22,-
Investor Zabezpieczenia Emerytalnego (Investor FIO),"27,72",PLN,"-0,04","0,29","1,24","0,25","-4,05","18,92",2016-03-22,
Investor Zrównoważony (Investor FIO),"412,07",PLN,"-0,08","0,36","1,67","-0,81","-7,26","27,19",2016-03-22,
InWarren FIZ,"1 002,46",PLN,"0,00","0,00","0,09","0,20","0,00","0,00",2016-03-23,-
Ipopema Akcji (Ipopema SFIO),"122,23",PLN,"0,18","1,70","4,34","2,36","-10,38","-2,54",2016-03-22,
Ipopema Dłużny (Ipopema SFIO),"106,46",PLN,"0,08","0,15","0,83","2,77","0,00","0,00",2016-03-22,-
Ipopema Global Bonds FIZ,"109,12",PLN,"0,00","0,00","0,92","1,83","0,00","0,00",2016-03-23,-
Ipopema Global Macro FIZ,"111,41",PLN,"0,00","0,00","0,44","-2,64","-2,30","7,19",2016-03-23,-
Ipopema Globalnych Megatrendów (Ipopema SFIO),"98,52",PLN,"0,52","1,66","4,50","-4,02","0,00","0,00",2016-03-22,-
Ipopema Gotówkowy (Ipopema SFIO),"109,51",PLN,"0,00","0,06","0,10","0,51","1,44","7,98",2016-03-22,
Ipopema m-INDEKS (Ipopema SFIO),"96,06",PLN,"-0,56","0,16","2,57","0,53","-5,50","0,00",2016-03-22,-
Ipopema m-INDEKS B (Ipopema SFIO),"95,56",PLN,"-0,56","0,15","2,53","0,42","-5,96","0,00",2016-03-22,-
Ipopema m-INDEKS FIO kategoria A,"139,21",PLN,"-0,64","0,05","2,50","0,04","-6,92","34,09",2016-03-22,
Ipopema Makro Alokacji (Ipopema SFIO),"120,02",PLN,"-0,03","-0,03","0,98","-0,70","-3,67","3,61",2016-03-22,-
Ipopema Małych i Średnich Spółek (Ipopema SFIO),"142,80",PLN,"0,03","0,90","4,17","0,25","-4,49","23,44",2016-03-22,
Ipopema MegaTrends FIZ,"91,00",PLN,"0,00","0,00","-2,16","-12,16","0,00","0,00",2016-03-23,
Ipopema Obligacji (Ipopema SFIO),"125,46",PLN,"0,01","0,11","0,46","1,82","3,11","12,21",2016-03-22,
Ipopema Opportunity FIZ,"9 091,47",PLN,"0,00","0,00","1,21","-0,61","0,00","0,00",2016-03-23,-
Ipopema Short Equity (Ipopema SFIO),"112,33",PLN,"-0,65","-3,10","-5,54","-5,22","14,19","2,72",2016-03-22,-
JPMorgan - Emerging Markets Opportunities Fund Polska (Skarbiec - JPM AM Funds Polska SFIO),"98,39",PLN,"-0,09","2,61","4,79","-1,23","-18,64","0,00",2016-03-22,
JPMorgan - Global High Yield Bond Fund Polska (Skarbiec - JPM AM Funds Polska SFIO),"102,23",PLN,"-0,03","0,74","5,19","3,81","-3,11","0,00",2016-03-22,-
JPMorgan - Global Strategic Bond Fund Polska (Skarbiec - JPM AM Funds Polska SFIO),"103,58",PLN,"0,00","0,06","1,94","0,86","-0,97","0,00",2016-03-22,-
JPMorgan - Highbridge US STEEP Fund Polska (Skarbiec - JPM AM Funds Polska SFIO),"104,53",PLN,"0,21","2,39","8,61","1,36","-12,06","0,00",2016-03-22,
KBC Akcji Małych i Średnich Spółek (KBC FIO),"77,01",PLN,"-0,32","0,71","1,50","-2,69","-9,77","26,85",2016-03-22,
KBC Akcyjny (KBC FIO),"79,55",PLN,"-0,11","1,44","2,42","-1,12","-14,81","3,51",2016-03-22,
KBC Aktywny (KBC FIO),"194,40",PLN,"-0,09","0,72","1,36","-0,52","-9,63","3,59",2016-03-22,
KBC Alfa SFIO,"2,75",PLN,"0,00","0,00","0,36","1,10","2,23","12,24",2016-03-22,
KBC Alokacji Sektorowych FIZ,"97,06",PLN,"0,00","0,00","-1,74","0,00","0,00","0,00",2016-03-23,-
KBC Beta Dywidendowy SFIO,"168,28",PLN,"0,33","1,54","2,44","-0,72","0,00","0,00",2016-03-22,-
KBC Delta (KBC Biznes SFIO),"132,71",PLN,"-0,08","0,01","-0,36","1,33","-1,47","13,54",2016-03-22,
KBC Gamma (KBC Biznes SFIO),"237,63",PLN,"-0,04","-0,03","0,19","0,65","1,01","9,84",2016-03-22,
KBC Globalny Akcyjny (KBC FIO),"124,35",PLN,"0,47","-0,22","4,08","-1,66","-11,49","12,66",2016-03-22,
KBC Globalny Ochrony 90 Listopad (KBC FIO),"93,93",PLN,"-0,02","-0,03","1,04","-2,18","0,00","0,00",2016-03-22,-
KBC Obligacji Korporacyjnych (KBC FIO),"129,91",PLN,"-0,02","-0,01","0,24","0,78","1,22","0,00",2016-03-22,
KBC Papierów Dłużnych (KBC FIO),"228,42",PLN,"0,06","0,07","0,24","0,79","0,59","12,51",2016-03-22,
KBC Pieniężny (KBC FIO),"179,54",PLN,"-0,01","-0,01","0,18","0,59","1,04","8,96",2016-03-22,
KBC Portfel Akcji Średnich Spółek (KBC Portfel VIP SFIO),"80,30",PLN,"-0,61","0,30","2,18","-3,80","-11,68","27,60",2016-03-22,
KBC Portfel Akcyjny (KBC Portfel VIP SFIO),"72,42",PLN,"0,12","2,07","3,65","-1,35","-20,00","-4,97",2016-03-22,
KBC Portfel Obligacyjny (KBC Portfel VIP SFIO),"169,10",PLN,"-0,05","0,06","0,28","0,63","-1,00","15,36",2016-03-22,
KBC Portfel Pieniężny (KBC Portfel VIP SFIO),"158,16",PLN,"-0,06","-0,04","0,15","0,65","1,53","11,80",2016-03-22,
KBC Stabilny (KBC FIO),"235,53",PLN,"-0,11","0,28","0,85","-0,53","-6,29","8,33",2016-03-22,
KBC Zmiennej Alokacji (KBC FIO),"105,20",PLN,"0,07","0,33","1,21","-3,72","-12,99","-4,62",2016-03-22,
Legg Mason Akcji (Legg Mason Parasol FIO),"335,02",PLN,"-0,05","1,21","3,58","4,05","-13,61","-1,37",2016-03-22,
Legg Mason Akcji 500+ FIZ,"1 030,23",PLN,"0,00","0,00","7,64","0,00","0,00","0,00",2016-03-23,-
Legg Mason Akcji Azjatyckich (Legg Mason Parasol Zagraniczny SFIO),"101,97",PLN,"0,15","2,49","6,92","4,50","0,00","0,00",2016-03-22,-
Legg Mason Akcji Skoncentrowany FIZ,"1 150,10",PLN,"0,00","0,00","5,19","0,00","0,00","0,00",2016-03-23,
Legg Mason Amerykańskich Spółek Wzrostowych (Legg Mason Parasol Zagraniczny SFIO),"94,87",PLN,"0,55","3,09","6,38","-2,69","0,00","0,00",2016-03-22,-
Legg Mason CEE Select (Legg Mason Parasol FIO),"98,06",PLN,"-0,44","0,50","3,98","3,26","-3,22","0,00",2016-03-22,
Legg Mason Globalnych Papierów Dłużnych (Legg Mason Parasol Zagraniczny SFIO),"99,94",PLN,"-0,02","1,24","5,06","3,49","0,00","0,00",2016-03-22,-
Legg Mason Małych Spółek Amerykańskich (Legg Mason Parasol Zagraniczny SFIO),"98,83",PLN,"-0,44","3,81","6,87","3,18","0,00","0,00",2016-03-22,-
Legg Mason Obligacji (Legg Mason Parasol FIO),"281,17",PLN,"-0,15","0,01","0,37","1,53","-0,75","7,98",2016-03-22,-
Legg Mason Okazji Rynkowych (Legg Mason Parasol Zagraniczny SFIO),"88,44",PLN,"-0,47","3,29","9,29","-7,32","0,00","0,00",2016-03-22,-
Legg Mason Pieniężny (Legg Mason Parasol FIO),"263,24",PLN,"-0,03","0,02","0,11","0,67","1,22","6,58",2016-03-22,-
Legg Mason Senior FIO,"282,05",PLN,"-0,08","0,15","1,09","1,52","-4,57","1,51",2016-03-22,-
Legg Mason Stabilny (Legg Mason Parasol FIO),"98,52",PLN,"-0,08","0,18","1,12","0,86","-5,19","0,00",2016-03-22,
Legg Mason Strateg (Legg Mason Parasol FIO),"227,68",PLN,"0,11","1,50","3,37","5,75","-9,35","-1,96",2016-03-22,
Macro FIZ,"104,48",PLN,"0,00","0,00","0,94","0,00","0,00","0,00",2016-03-23,-
Macromoney FIZ AN,"198,54",PLN,"0,00","0,00","0,61","3,27","10,19","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria A-D (MCI.PrivateVentures FIZ),"45 468,50",PLN,"0,00","0,00","1,03","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria A1 (MCI.PrivateVentures FIZ),"47 412,80",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria J (MCI.PrivateVentures FIZ),"45 428,90",PLN,"0,00","0,00","1,03","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria K (MCI.PrivateVentures FIZ),"45 244,30",PLN,"0,00","0,00","1,03","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria L (MCI.PrivateVentures FIZ),"44 439,20",PLN,"0,00","0,00","1,03","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria M (MCI.PrivateVentures FIZ),"45 479,20",PLN,"0,00","0,00","1,03","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria N (MCI.PrivateVentures FIZ),"45 135,00",PLN,"0,00","0,00","1,03","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria O (MCI.PrivateVentures FIZ),"45 150,80",PLN,"0,00","0,00","1,13","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria P (MCI.PrivateVentures FIZ),"45 877,50",PLN,"0,00","0,00","1,03","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria R (MCI.PrivateVentures FIZ),"47 014,80",PLN,"0,00","0,00","0,94","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria S (MCI.PrivateVentures FIZ),"47 087,90",PLN,"0,00","0,00","0,94","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria T (MCI.PrivateVentures FIZ),"45 226,00",PLN,"0,00","0,00","0,94","0,00","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria U (MCI.PrivateVentures FIZ),"47 190,40",PLN,"0,00","0,00","0,94","2,20","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria W (MCI.PrivateVentures FIZ),"46 549,40",PLN,"0,00","0,00","0,94","2,20","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria Y (MCI.PrivateVentures FIZ),"47 140,30",PLN,"0,00","0,00","0,94","2,20","0,00","0,00",2016-03-23,-
MCI.EuroVentures 1.0. seria Z (MCI.PrivateVentures FIZ),"46 618,00",PLN,"0,00","0,00","0,94","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria A-D (MCI.PrivateVentures FIZ),"212,47",PLN,"0,00","0,00","-0,91","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria A1 (MCI.PrivateVentures FIZ),"173,64",PLN,"0,00","0,00","-0,44","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria B1 (MCI.PrivateVentures FIZ),"230,33",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria C1 (MCI.PrivateVentures FIZ),"232,62",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria D1 (MCI.PrivateVentures FIZ),"233,71",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria E (MCI.PrivateVentures FIZ),"212,44",PLN,"0,00","0,00","-0,91","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria E1 (MCI.PrivateVentures FIZ),"236,76",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria F1 (MCI.PrivateVentures FIZ),"237,88",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria G1 (MCI.PrivateVentures FIZ),"236,37",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria H (MCI.PrivateVentures FIZ),"199,44",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria H1 (MCI.PrivateVentures FIZ),"239,05",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria I (MCI.PrivateVentures FIZ),"199,44",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria I1 (MCI.PrivateVentures FIZ),"240,68",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria J (MCI.PrivateVentures FIZ),"215,70",PLN,"0,00","0,00","-0,93","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria J1 (MCI.PrivateVentures FIZ),"240,82",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria K (MCI.PrivateVentures FIZ),"180,14",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria K1 (MCI.PrivateVentures FIZ),"242,64",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria L (MCI.PrivateVentures FIZ),"202,98",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria L1 (MCI.PrivateVentures FIZ),"242,31",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria M (MCI.PrivateVentures FIZ),"204,64",PLN,"0,00","0,00","-0,93","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria M1 (MCI.PrivateVentures FIZ),"241,93",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria N (MCI.PrivateVentures FIZ),"223,22",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria N1 (MCI.PrivateVentures FIZ),"242,31",PLN,"0,00","0,00","-0,95","1,07","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria O (MCI.PrivateVentures FIZ),"224,06",PLN,"0,00","0,00","-0,93","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria O1 (MCI.PrivateVentures FIZ),"242,32",PLN,"0,00","0,00","-0,95","1,07","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria P (MCI.PrivateVentures FIZ),"235,49",PLN,"0,00","0,00","-0,91","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria P1 (MCI.PrivateVentures FIZ),"241,43",PLN,"0,00","0,00","-0,95","0,74","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria R (MCI.PrivateVentures FIZ),"232,90",PLN,"0,00","0,00","-0,94","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria R1 (MCI.PrivateVentures FIZ),"239,08",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria S (MCI.PrivateVentures FIZ),"233,12",PLN,"0,00","0,00","-0,93","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria S1 (MCI.PrivateVentures FIZ),"244,33",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria T (MCI.PrivateVentures FIZ),"227,96",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria U (MCI.PrivateVentures FIZ),"229,68",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria W (MCI.PrivateVentures FIZ),"227,21",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria Y (MCI.PrivateVentures FIZ),"224,95",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
MCI.TechVentures 1.0. seria Z (MCI.PrivateVentures FIZ),"231,61",PLN,"0,00","0,00","-0,95","0,00","0,00","0,00",2016-03-23,-
Medyczny Publiczny FIZ,"98,30",PLN,"0,00","0,00","-0,39","-1,72","0,00","0,00",2016-03-23,-
MetLife Akcji (Krajowy FIO),"14,15",PLN,"0,35","1,95","5,20","3,66","-16,52","-7,27",2016-03-22,
MetLife Akcji Amerykańskich (Światowy SFIO),"11,31",PLN,"0,18","1,62","5,90","0,62","-6,22","50,40",2016-03-22,-
MetLife Akcji Amerykańskich (USD) (Światowy SFIO),"2,98",USD,"-0,26","3,34","9,76","2,69","-4,64","28,06",2016-03-22,-
MetLife Akcji Chińskich i Azjatyckich (Światowy SFIO),"10,65",PLN,"-0,09","2,80","5,97","0,85","-7,31","35,50",2016-03-22,-
MetLife Akcji Chińskich i Azjatyckich (USD) (Światowy SFIO),"2,80",USD,"-0,53","4,54","9,84","2,93","-5,75","15,38",2016-03-22,-
MetLife Akcji Małych Spółek (Światowy SFIO),"7,46",PLN,"0,27","2,90","5,52","3,76","-3,12","16,56",2016-03-22,
MetLife Akcji Nowa Europa (Światowy SFIO),"7,77",PLN,"0,00","2,78","7,47","7,32","-10,69","-12,30",2016-03-22,
MetLife Akcji Polskich (Światowy SFIO),"5,55",PLN,"0,54","1,83","4,52","2,78","-13,69","-2,80",2016-03-22,
MetLife Akcji Rynków Rozwiniętych (Światowy SFIO),"6,96",PLN,"0,00","0,58","3,42","4,35","-5,18","24,96",2016-03-22,
MetLife Akcji Rynków Rozwiniętych (USD) (Światowy SFIO),"1,83",USD,"-0,44","2,28","7,19","6,50","-3,58","6,40",2016-03-22,-
MetLife Akcji Rynków Wschodzących (Światowy SFIO),"7,78",PLN,"0,26","3,18","7,16","5,85","-8,04","2,50",2016-03-22,-
MetLife Akcji Rynków Wschodzących (USD) (Światowy SFIO),"2,05",USD,"-0,18","4,93","11,07","8,03","-6,49","-12,72",2016-03-22,-
MetLife Akcji Średnich Spółek (Krajowy FIO),"7,76",PLN,"-0,13","1,17","3,47","-0,13","-12,12","15,99",2016-03-22,
MetLife Aktywnej Alokacji (Krajowy FIO),"7,31",PLN,"0,27","1,11","2,38","2,38","-7,59","-0,54",2016-03-22,
MetLife FIZ ONE,"848,63",PLN,"0,00","0,00","-0,18","0,00","0,00","0,00",2016-03-23,
MetLife Lokacyjny (Światowy SFIO),"14,30",PLN,"0,07","0,07","0,28","0,56","1,56","7,44",2016-03-22,
MetLife Obligacji Plus (Światowy SFIO),"16,04",PLN,"-0,06","0,12","0,44","0,94","0,31","11,39",2016-03-22,
MetLife Obligacji Skarbowych (Krajowy FIO),"20,67",PLN,"0,00","0,15","0,39","1,08","0,44","10,89",2016-03-22,
MetLife Obligacji Światowych (Światowy SFIO),"12,34",PLN,"0,24","0,65","2,15","5,92","3,96","18,88",2016-03-22,-
MetLife Obligacji Światowych (USD) (Światowy SFIO),"3,25",USD,"-0,20","2,36","5,88","8,10","5,71","1,23",2016-03-22,-
MetLife Ochrony Wzrostu (Światowy SFIO),"8,41",PLN,"0,12","0,36","0,60","-0,12","-8,39","-12,76",2016-03-22,-
MetLife Pieniężny (Krajowy FIO),"16,19",PLN,"0,06","0,06","0,25","0,62","1,50","8,29",2016-03-22,
MetLife Stabilnego Wzrostu (Krajowy FIO),"15,75",PLN,"0,13","0,90","2,14","2,27","-5,23","2,47",2016-03-22,
MetLife Zrównoważony Azjatycki (Światowy SFIO),"14,71",PLN,"0,20","2,08","5,15","2,94","-3,29","18,63",2016-03-22,-
MetLife Zrównoważony Azjatycki (USD) (Światowy SFIO),"3,87",USD,"-0,24","3,81","8,98","5,06","-1,66","1,01",2016-03-22,-
MetLife Zrównoważony Nowa Europa (Krajowy FIO),"10,70",PLN,"0,00","1,52","3,68","5,52","-5,39","-3,26",2016-03-22,-
Metrum FIZ,"956,19",PLN,"0,00","0,00","2,05","2,34","0,00","0,00",2016-03-23,-
Mezzanine FIZ AN,"1 086,07",PLN,"0,00","0,00","0,70","0,00","0,00","0,00",2016-03-23,-
Millennium Absolute Return (EUR) (Millennium SFIO),"27,17",EUR,"0,00","0,48","3,98","-2,20","-5,50","8,94",2016-03-22,-
Millennium Absolute Return (Millennium SFIO),"115,72",PLN,"-0,04","-0,08","1,46","-1,77","-2,42","10,84",2016-03-22,-
Millennium Absolute Return (USD) (Millennium SFIO),"30,45",USD,"-0,49","1,64","5,15","0,26","-0,78","-5,61",2016-03-22,-
Millennium Akcji (Millennium FIO),"190,10",PLN,"0,09","0,75","3,39","-0,11","-13,80","-0,90",2016-03-22,
Millennium Cyklu Koniunkturalnego (Millennium FIO),"147,07",PLN,"-0,05","0,41","2,30","-1,79","-14,29","0,00",2016-03-22,
Millennium Depozytowy (Millennium FIO),"176,03",PLN,"-0,01","0,03","0,20","0,66","0,99","5,25",2016-03-22,
Millennium Dynamicznych Spółek (Millennium FIO),"86,15",PLN,"-0,07","0,26","2,73","-0,40","-3,67","28,16",2016-03-22,
Millennium Globalny Akcji (EUR) (Millennium SFIO),"31,24",EUR,"0,16","0,39","5,58","-5,85","-13,92","0,00",2016-03-22,-
Millennium Globalny Akcji (Millennium SFIO),"133,07",PLN,"0,15","-0,16","3,00","-5,44","-11,12","0,00",2016-03-22,
Millennium Globalny Akcji (USD) (Millennium SFIO),"35,01",USD,"-0,31","1,54","6,74","-3,50","-9,63","0,00",2016-03-22,-
Millennium Globalny Stabilnego Wzrostu (EUR) (Millennium SFIO),"42,01",EUR,"0,05","0,70","5,61","-2,07","-8,63","0,00",2016-03-22,-
Millennium Globalny Stabilnego Wzrostu (Millennium SFIO),"178,91",PLN,"0,01","0,13","3,02","-1,67","-5,69","0,00",2016-03-22,-
Millennium Globalny Stabilnego Wzrostu (USD) (Millennium SFIO),"47,08",USD,"-0,42","1,84","6,78","0,36","-4,09","0,00",2016-03-22,-
Millennium Globalny Strategii Alternatywnych (EUR) (Millennium SFIO),"24,48",EUR,"0,20","0,99","5,79","-2,63","-11,82","0,00",2016-03-22,-
Millennium Globalny Strategii Alternatywnych (Millennium SFIO),"104,26",PLN,"0,17","0,43","3,23","-2,22","-8,97","0,00",2016-03-22,-
Millennium Globalny Strategii Alternatywnych (USD) (Millennium SFIO),"27,43",USD,"-0,29","2,12","6,98","-0,22","-7,46","0,00",2016-03-22,-
Millennium Instrumentów Dłużnych (Millennium FIO),"102,60",PLN,"0,09","0,22","1,62","0,90","0,21","0,00",2016-03-22,-
Millennium Obligacji Korporacyjnych (EUR) (Millennium SFIO),"30,85",EUR,"0,10","0,72","4,54","0,10","-2,68","7,60",2016-03-22,-
Millennium Obligacji Korporacyjnych (Millennium SFIO),"131,40",PLN,"0,08","0,18","2,00","0,52","0,47","9,47",2016-03-22,
Millennium Obligacji Korporacyjnych (USD) (Millennium SFIO),"34,57",USD,"-0,37","1,86","5,72","2,58","2,16","-6,79",2016-03-22,-
Millennium Stabilnego Wzrostu (Millennium FIO),"137,59",PLN,"-0,03","0,38","1,56","0,50","-6,15","-0,11",2016-03-22,
MM Prime Akcji FIZ,"1 010,00",PLN,"0,00","1,68","6,93","0,00","0,00","0,00",2016-03-23,-
MM Prime Depozytowy FIZ,"1 067,56",PLN,"0,00","0,07","0,29","0,00","0,00","0,00",2016-03-23,
NN (L) Ameryki Łacińskiej (NN SFIO),"54,86",PLN,"0,29","7,80","15,37","14,08","-12,91","-38,44",2016-03-22,-
NN (L) Depozytowy (NN SFIO),"113,50",PLN,"-0,01","-0,01","0,09","0,71","0,72","5,44",2016-03-22,
NN (L) Dynamiczny Globalnej Alokacji (NN SFIO),"148,17",PLN,"-0,21","0,76","0,00","0,00","0,00","0,00",2016-03-22,-
NN (L) Europejski Spółek Dywidendowych (NN SFIO),"144,41",PLN,"-0,21","-0,53","3,00","-5,54","-17,39","15,96",2016-03-22,-
NN (L) Globalny Długu Korporacyjnego (NN SFIO),"152,11",PLN,"0,02","0,96","6,33","3,32","-4,02","3,55",2016-03-22,-
NN (L) Globalny Spółek Dywidendowych (NN SFIO),"190,36",PLN,"0,08","-0,05","4,66","-1,77","-10,94","28,69",2016-03-22,
NN (L) Globalnych Możliwości (NN SFIO),"148,46",PLN,"0,75","5,57","3,83","-9,47","-8,94","27,40",2016-03-02,
NN (L) Japonia (NN SFIO),"161,67",PLN,"1,85","-0,32","4,82","-14,74","-15,19","27,51",2016-03-22,-
NN (L) Nowej Azji (NN SFIO),"105,33",PLN,"-0,11","2,68","6,90","0,37","-9,28","-4,77",2016-03-22,
NN (L) Obligacji Rynków Wschodzących (Waluta Lokalna) (NN SFIO),"86,71",PLN,"-0,45","2,88","6,08","7,77","-5,41","-22,97",2016-03-22,-
NN (L) Obligacyjny Globalnej Alokacji (NN SFIO),"107,19",PLN,"0,01","-0,20","0,00","0,00","0,00","0,00",2016-03-22,-
NN (L) Senior Loans FIZ,"1 036,93",PLN,"0,07","0,39","2,18","0,00","0,00","0,00",2016-03-22,
NN (L) Spółek Dywidendowych Rynków Wschodzących (NN SFIO),"91,55",PLN,"0,13","3,34","8,46","1,28","-17,25","-3,90",2016-03-22,
NN (L) Spółek Dywidendowych USA (NN SFIO),"164,00",PLN,"0,01","1,88","6,62","2,60","-4,07","14,49",2016-03-22,-
NN (L) Stabilny Globalnej Alokacji (NN SFIO),"112,89",PLN,"0,01","0,53","1,28","0,41","-3,88","0,00",2016-03-22,-
NN (L) Stabilny Globalnej Alokacji EUR (EUR) (NN SFIO),"101,65",EUR,"0,00","0,47","1,16","0,11","-5,13","0,00",2016-03-22,-
NN (L) Zagranicznych Obligacji Rynków Wschodzących (NN SFIO),"106,72",PLN,"0,27","1,74","2,65","-0,99","-0,12","4,40",2016-03-02,-
NN Akcji (NN FIO),"275,36",PLN,"0,06","1,99","4,57","3,13","-8,94","8,23",2016-03-22,
NN Akcji Środkowoeuropejskich (NN FIO),"155,39",PLN,"-1,04","1,11","4,79","4,34","-9,16","4,83",2016-03-22,
